"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1787","KITTITAS ","WA ",3,3,"50180",44973,128,0.284615213572588
"1788","KLICKITAT ","WA ",3,1,"50190",44568,53,0.118919404056722
"1789","OKANOGAN ","WA ",1,1,"50230",75070,153,0.203809777540962
"1790","PACIFIC ","WA ",3,2,"50240",95115,140,0.147190243389581
"1791","PEND OREILLE ","WA ",1,1,"50250",15060,46,0.305444887118194
"1792","SKAGIT ","WA ",4,2,"50280",385580,3615,0.937548628040873
"1793","SKAMANIA ","WA ",3,3,"50290",12969,134,1.0332330943018
"1794","SNOHOMISH ","WA ",8,3,"50300",3824056,17689,0.462571677820618
"1795","SPOKANE ","WA ",8,2,"50310",2961596,2517,0.0849879591949746
"1796","WAHKIAKUM ","WA ",2,2,"50340",5592,167,2.98640915593705
"1797","WALLA WALLA ","WA ",2,2,"50350",83907,307,0.365881273314503
"1798","WHATCOM ","WA ",4,2,"50360",771806,3774,0.488982982770282
"1799","WHITMAN ","WA ",1,1,"50370",39456,40,0.101378751013788
"1800","YAKIMA ","WA ",5,1,"50380",648333,474,0.0731105774347442
"1818","BARRON ","WI ",4,3,"52020",98868,757,0.765667354452401
"1819","BAYFIELD ","WI ",3,3,"52030",25938,189,0.728660652324775
"1820","BURNETT ","WI ",4,4,"52060",43836,292,0.66611917145725
"1821","CALUMET ","WI ",5,5,"52070",24462,1100,4.49677050118551
"1822","DANE ","WI ",6,4,"52120",1826055,7064,0.386844865023233
"1823","DOOR ","WI ",2,2,"52140",31805,404,1.27024052821883
"1824","EAU CLAIRE ","WI ",4,4,"52170",143710,1256,0.873982325516666
"1825","FOND DU LAC ","WI ",5,5,"52190",254760,1368,0.536975977390485
"1826","GREEN LAKE ","WI ",4,4,"52230",41310,405,0.980392156862745
"1827","KENOSHA ","WI ",1,1,"52290",430584,232,0.053880311391041
"1828","KEWAUNEE ","WI ",2,2,"52300",14308,245,1.71232876712329
"1829","LA CROSSE ","WI ",5,1,"52310",214253,4876,2.27581410762043
"1830","LANGLADE ","WI ",4,3,"52330",22305,356,1.59605469625644
"1831","MANITOWOC ","WI ",4,2,"52350",121320,990,0.816023738872404
"1832","MARATHON ","WI ",3,3,"52360",225396,2778,1.2324974711175
"1833","MARINETTE ","WI ",3,3,"52370",96790,522,0.539311912387643
"1834","MILWAUKEE ","WI ",5,2,"52390",7385688,11444,0.154948327088824
"1835","OCONTO ","WI ",3,3,"52410",61460,671,1.09176700292873
"1836","OUTAGAMIE ","WI ",6,6,"52430",330498,4021,1.21664881481885
"1837","OZAUKEE ","WI ",3,3,"52440",186452,1162,0.623216699204085
"1838","PEPIN ","WI ",3,3,"52450",5768,63,1.09223300970874
"1839","PRICE ","WI ",3,3,"52490",27200,352,1.29411764705882
"1840","RACINE ","WI ",4,3,"52500",609280,1873,0.307412027310924
"1841","SAUK ","WI ",2,2,"52550",117384,240,0.204457166223676
"1842","SAWYER ","WI ",3,3,"52560",45708,233,0.509757591668854
"1843","SHAWANO ","WI ",4,3,"52570",75510,1501,1.98781618328698
"1844","SHEBOYGAN ","WI ",5,3,"52580",202961,1427,0.703090741571041
"1845","TREMPEALEAU ","WI ",6,3,"52600",43968,1189,2.70423944687045
"1846","VILAS ","WI ",2,2,"52620",53199,341,0.64098949228369
"1847","WASHBURN ","WI ",4,3,"52640",42183,166,0.393523457316929
"1848","WAUKESHA ","WI ",3,2,"52660",1623913,4253,0.26189826671749
"1849","WAUPACA ","WI ",6,5,"52670",89800,1262,1.40534521158129
"1850","WAUSHARA ","WI ",5,4,"52680",38544,516,1.3387297633873
"1801","BRAXTON ","WV ",1,1,"51030",11536,57,0.494105409153953
"1802","BROOKE ","WV ",4,4,"51040",35960,1289,3.5845383759733
"1803","CABELL ","WV ",3,1,"51050",212020,436,0.205640977266296
"1804","DODDRIDGE ","WV ",0,0,"51080",2006,0,0
"1805","GREENBRIER ","WV ",2,1,"51120",57057,440,0.771158665895508
"1806","HARDY ","WV ",0,0,"51150",7257,0,0
"1807","KANAWHA ","WV ",3,1,"51190",796442,912,0.114509280022902
"1808","MINGO ","WV ",1,1,"51290",20358,1161,5.70291777188329
"1809","MONONGALIA ","WV ",1,1,"51300",113388,290,0.255758986841641
"1810","PLEASANTS ","WV ",0,0,"51360",1435,0,0
"1811","PRESTON ","WV ",1,1,"51380",51183,121,0.236406619385343
"1812","RALEIGH ","WV ",2,1,"51400",220077,2092,0.95057638917288
"1813","RITCHIE ","WV ",1,1,"51420",4278,20,0.467508181393174
"1814","SUMMERS ","WV ",2,2,"51440",11592,278,2.39820565907522
"1815","TUCKER ","WV ",1,1,"51460",4722,20,0.423549343498518
"1816","WETZEL ","WV ",2,2,"51510",21255,260,1.22324159021407
"1817","WIRT ","WV ",0,0,"51520",2358,0,0
"1851","CONVERSE ","WY ",0,0,"53040",10836,0,0
"1852","GOSHEN ","WY ",0,0,"53070",9972,0,0
"1853","HOT SPRINGS ","WY ",0,0,"53080",4792,0,0
"1854","LARAMIE ","WY ",2,1,"53100",210052,487,0.231847352084246
"1855","NATRONA ","WY ",0,0,"53120",126756,0,0
"1856","NIOBRARA ","WY ",0,0,"53130",1076,0,0
"1857","SUBLETTE ","WY ",0,0,"53170",5376,0,0
"1858","SWEETWATER ","WY ",2,2,"53180",28182,184,0.652899013554751
"1859","UINTA ","WY ",1,1,"53200",20060,62,0.309072781655035
"1860","WASHAKIE ","WY ",0,0,"53210",3108,0,0
"1861","WESTON ","WY ",0,0,"53220",1295,0,0
