"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1554","COCHRAN ","TX ",0,0,"45292",572,0,0
"1555","COKE ","TX ",0,0,"45300",1606,0,0
"1556","COLEMAN ","TX ",2,2,"45301",11265,47,0.417221482467821
"1557","COLLIN ","TX ",7,1,"45310",2112114,3034,0.143647549327356
"1558","COLORADO ","TX ",1,0,"45312",27832,17,0.0610807703363035
"1559","COMAL ","TX ",4,2,"45320",268991,1905,0.708202133156871
"1560","CONCHO ","TX ",0,0,"45330",546,0,0
"1561","COOKE ","TX ",2,1,"45340",53091,85,0.16010246557797
"1562","CORYELL ","TX ",1,1,"45341",57800,1247,2.15743944636678
"1563","CROSBY ","TX ",0,0,"45362",3345,0,0
"1564","CULBERSON ","TX ",0,0,"45370",762,0,0
"1565","DALLAM ","TX ",0,0,"45380",3933,0,0
"1568","DE WITT ","TX ",0,0,"45420",17230,0,0
"1566","DEAF SMITH ","TX ",0,0,"45392",7494,0,0
"1567","DENTON ","TX ",8,2,"45410",1489101,2544,0.170841333126497
"1569","DIMMIT ","TX ",0,0,"45430",1482,0,0
"1570","DONLEY ","TX ",0,0,"45431",1824,0,0
"1571","EASTLAND ","TX ",1,1,"45450",33480,30,0.0896057347670251
"1572","ECTOR ","TX ",2,0,"45451",152766,66,0.0432033305840305
"1573","ERATH ","TX ",2,0,"45490",41440,34,0.082046332046332
"1574","FALLS ","TX ",1,1,"45500",8718,491,5.63202569396651
"1575","FISHER ","TX ",0,0,"45520",3676,0,0
"1576","FOARD ","TX ",0,0,"45522",1131,0,0
"1577","FORT BEND ","TX ",7,2,"45530",1113683,3085,0.277008807712787
"1578","FREESTONE ","TX ",0,0,"45540",18444,0,0
"1579","FRIO ","TX ",1,1,"45541",6174,35,0.566893424036281
"1580","GAINES ","TX ",0,0,"45542",1682,0,0
"1581","GALVESTON ","TX ",6,3,"45550",1271130,1540,0.121152045817501
"1582","GARZA ","TX ",0,0,"45551",4120,0,0
"1583","GILLESPIE ","TX ",0,0,"45552",39732,0,0
"1584","GOLIAD ","TX ",0,0,"45561",2390,0,0
"1585","GONZALES ","TX ",0,0,"45562",17240,0,0
"1586","GREGG ","TX ",2,0,"45570",411597,75,0.0182217071553
"1587","GRIMES ","TX ",1,1,"45580",39666,175,0.441183885443453
"1588","HARTLEY ","TX ",0,0,"45621",149,0,0
"1589","HAYS ","TX ",3,1,"45631",312741,161,0.0514802983938786
"1590","HEMPHILL ","TX ",0,0,"45632",992,0,0
"1591","HOCKLEY ","TX ",0,0,"45652",16140,0,0
"1592","HOOD ","TX ",4,1,"45653",181242,242,0.133523134814226
"1593","HUDSPETH ","TX ",0,0,"45662",1266,0,0
"1594","HUNT ","TX ",1,0,"45670",172816,24,0.0138876029997222
"1595","IRION ","TX ",0,0,"45672",272,0,0
"1596","JACK ","TX ",0,0,"45680",5580,0,0
"1597","JIM HOGG ","TX ",0,0,"45710",2592,0,0
"1598","JIM WELLS ","TX ",2,1,"45711",52072,101,0.193962206176064
"1599","KARNES ","TX ",0,0,"45722",10396,0,0
"1600","KAUFMAN ","TX ",3,2,"45730",201357,660,0.327776039571507
"1601","KERR ","TX ",0,0,"45734",200784,0,0
"1602","KIMBLE ","TX ",0,0,"45740",1836,0,0
"1603","KINNEY ","TX ",0,0,"45742",1572,0,0
"1604","KLEBERG ","TX ",1,1,"45743",15652,52,0.332225913621262
"1605","LAMB ","TX ",0,0,"45751",7962,0,0
"1606","LAMPASAS ","TX ",1,1,"45752",17380,604,3.47525891829689
"1607","LAVACA ","TX ",0,0,"45754",20328,0,0
"1608","LIVE OAK ","TX ",1,1,"45760",5768,25,0.433425797503467
"1609","LLANO ","TX ",1,1,"45761",59472,369,0.62046004842615
"1610","LUBBOCK ","TX ",3,0,"45770",628330,196,0.0311937994366018
"1611","LYNN ","TX ",1,1,"45771",1058,21,1.98487712665406
"1615","MATAGORDA ","TX ",2,2,"45790",62557,91,0.145467333791582
"1616","MAVERICK ","TX ",0,0,"45791",76582,0,0
"1612","MCCULLOCH ","TX ",0,0,"45772",5424,0,0
"1613","MCLENNAN ","TX ",4,2,"45780",593658,3412,0.57474168629076
"1614","MCMULLEN ","TX ",0,0,"45781",154,0,0
"1617","MILAM ","TX ",1,1,"45795",33040,1588,4.80629539951574
"1618","MONTAGUE ","TX ",0,0,"45800",22650,0,0
"1619","NACOGDOCHES ","TX ",2,0,"45810",79299,62,0.0781850969116887
"1620","NAVARRO ","TX ",1,0,"45820",80360,11,0.0136884021901444
"1621","NOLAN ","TX ",3,2,"45822",15090,57,0.377733598409543
"1622","NUECES ","TX ",7,4,"45830",1430088,8220,0.574789803144981
"1623","OCHILTREE ","TX ",0,0,"45831",2306,0,0
"1624","PALO PINTO ","TX ",0,0,"45841",27918,0,0
"1625","PARKER ","TX ",3,1,"45843",178620,179,0.10021274213414
"1626","PARMER ","TX ",0,0,"45844",1325,0,0
"1627","PECOS ","TX ",0,0,"45845",1967,0,0
"1628","PRESIDIO ","TX ",0,0,"45861",1541,0,0
"1629","RAINS ","TX ",1,1,"45870",7536,18,0.238853503184713
"1630","RANDALL ","TX ",2,2,"45871",59040,239,0.404810298102981
